City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kapaa,22.0752,-159.319,27.18,86,40,4.63,US,1680489701
84,toora-khem,52.4675,96.11,-8.44,59,65,1.12,RU,1680489701
85,eureka,40.8021,-124.1637,7.74,83,92,5.36,US,1680489702
86,qaanaaq,77.484,-69.3632,-26.55,59,0,1.16,GL,1680489702
87,vallenar,-28.5708,-70.7581,21.77,63,2,0.38,CL,1680489702
88,saint-philippe,-21.3585,55.7679,24.77,76,52,2.3,RE,1680489703
89,papayal,-4.0761,-80.7361,23.75,94,98,0.58,PE,1680489703
90,henties bay,-22.116,14.2845,15.8,90,11,3.48,NA,1680489703
91,manggar,-2.8833,108.2667,29.07,65,100,2.13,ID,1680489704
92,paamiut,61.994,-49.6678,-2.18,55,56,4.06,GL,1680489704
93,jamestown,42.097,-79.2353,1.8,55,0,0.45,US,1680489347
94,ahipara,-35.1667,173.1667,18.89,51,37,5.79,NZ,1680489705
95,lavrentiya,65.5833,-171.0,-13.2,81,99,1.79,RU,1680489705
96,bethel,41.3712,-73.414,4.25,46,0,0.0,US,1680489442
97,upernavik,72.7868,-56.1549,-29.71,98,24,1.27,GL,1680489705
98,lagoa,39.05,-27.9833,13.96,60,30,8.11,PT,1680489706
99,poum,-20.2333,164.0167,27.27,79,33,4.29,NC,1680489706
100,praia,14.9215,-23.5087,22.1,81,0,4.72,CV,1680489706
101,galesong,-5.3166,119.3661,28.01,73,99,3.28,ID,1680489707
102,cockburn town,21.4612,-71.1419,25.19,71,0,7.88,TC,1680489452
103,chuy,-33.6971,-53.4616,17.41,80,79,2.85,UY,1680489707
104,grand gaube,-20.0064,57.6608,25.22,79,95,5.64,MU,1680489707
105,lakes entrance,-37.8811,147.981,21.76,58,4,3.76,AU,1680489707
106,tarabuco,-19.1667,-64.9167,9.88,77,56,1.7,BO,1680489708
107,port blair,11.6667,92.75,29.02,70,40,2.06,IN,1680489708
108,carnarvon,-24.8667,113.6333,24.6,74,97,4.03,AU,1680489708
109,chokurdakh,70.6333,147.9167,-17.26,86,91,6.04,RU,1680489709
110,bell ville,-32.6259,-62.6887,19.26,68,100,2.75,AR,1680489709
111,yar-sale,66.8333,70.8333,-12.47,87,12,7.9,RU,1680489709
112,milford,41.2223,-73.0565,5.55,36,0,3.6,US,1680489709
113,madaoua,14.073,5.96,23.22,10,10,3.76,NE,1680489709
114,ancud,-41.8697,-73.8203,9.36,78,0,0.82,CL,1680489710
115,helong,42.5397,128.9972,21.13,26,100,0.15,CN,1680489710
116,pisco,-13.7,-76.2167,24.03,88,75,5.66,PE,1680489710
117,roma,43.2128,-75.4557,-1.14,66,0,0.0,US,1680489710
118,angoche,-16.2325,39.9086,23.81,91,96,3.62,MZ,1680489710
119,fukue,32.6881,128.8419,18.2,52,0,6.69,JP,1680489711
120,adrar,20.5022,-10.0711,22.86,6,0,3.22,MR,1680489711
121,humaita,-7.5061,-63.0208,22.79,99,96,1.27,BR,1680489711
122,kirakira,-10.4544,161.9205,29.59,74,35,4.21,SB,1680489711
123,urengoy,65.9667,78.3667,-8.27,88,12,4.98,RU,1680489711
124,hami,42.8,93.45,4.95,20,23,4.01,CN,1680489548
125,hithadhoo,-0.6,73.0833,27.9,68,35,2.74,MV,1680489712
126,sao filipe,14.8961,-24.4956,23.75,68,2,4.1,CV,1680489712
127,rincon,32.296,-81.2354,18.25,63,75,2.06,US,1680489602
128,tasiilaq,65.6145,-37.6368,-1.91,92,91,3.25,GL,1680489713
129,asau,46.4333,26.4,6.27,93,100,0.69,RO,1680489713
130,port hedland,-20.3167,118.5667,34.03,46,40,3.6,AU,1680489713
131,namibe,-15.1961,12.1522,23.12,79,21,4.2,AO,1680489713
132,sakakah,29.9697,40.2064,11.76,24,0,1.31,SA,1680489714
133,aranos,-24.1333,19.1167,19.01,45,1,2.69,NA,1680489714
134,kodiak,57.79,-152.4072,3.73,41,0,3.09,US,1680489714
135,hilo,19.7297,-155.09,24.04,94,100,3.09,US,1680489432
136,zhicheng,30.2956,111.5047,18.3,93,100,1.22,CN,1680489715
137,coahuayana,18.7333,-103.6833,21.79,88,71,0.65,MX,1680489715
138,palana,59.1167,159.9667,-1.83,99,100,5.11,RU,1680489715
139,twin falls,42.3505,-114.6445,0.52,86,100,2.57,US,1680489715
140,rocha,-34.4833,-54.3333,16.38,70,53,2.08,UY,1680489482
141,avarua,-21.2078,-159.775,27.03,69,20,4.12,CK,1680489716
142,saskylakh,71.9167,114.0833,-6.5,93,100,0.85,RU,1680489716
143,hambantota,6.1241,81.1185,27.19,89,40,1.54,LK,1680489716
144,wajir,1.7471,40.0573,26.79,73,36,5.55,KE,1680489716
145,norman wells,65.282,-126.8329,-7.98,57,20,4.12,CA,1680489717
146,atar,20.5169,-13.0499,27.04,7,0,4.59,MR,1680489717
147,yellowknife,62.456,-114.3525,-11.71,72,75,2.06,CA,1680489546
148,aklavik,68.2191,-135.0107,-11.71,91,99,1.04,CA,1680489717
149,banjar,-8.19,114.9675,28.35,80,100,1.31,ID,1680489718
150,kenai,60.5544,-151.2583,3.05,69,0,6.69,US,1680489718
151,mitzic,0.7821,11.549,19.45,99,47,0.77,GA,1680489718
152,kamina,-8.7386,24.9906,17.22,96,100,0.96,CD,1680489718
153,brae,60.3964,-1.353,6.03,84,100,5.76,GB,1680489719
154,general roca,-39.0333,-67.5833,14.23,45,3,3.03,AR,1680489719
155,nadadores,27.05,-101.6,31.8,37,66,2.16,MX,1680489719
156,sabang,5.8933,95.3214,27.95,71,87,3.72,ID,1680489719
157,botucatu,-22.8858,-48.445,15.01,87,2,3.99,BR,1680489720
158,beringovskiy,63.05,179.3167,-3.86,88,100,1.44,RU,1680489720
159,barrow,71.2906,-156.7887,-13.99,78,100,3.09,US,1680489720
160,souillac,-20.5167,57.5167,25.21,88,75,4.63,MU,1680489720
161,saldanha,-33.0117,17.9442,17.05,88,94,3.97,ZA,1680489721
162,victoria,22.2855,114.1577,22.89,90,100,7.65,HK,1680489684
163,berlevag,70.8578,29.0864,-3.03,74,96,9.48,NO,1680489721
164,vestmannaeyjar,63.4427,-20.2734,6.41,92,100,13.05,IS,1680489721
165,luderitz,-26.6481,15.1594,15.01,84,4,5.0,NA,1680489721
166,geraldton,-28.7667,114.6,25.23,61,92,6.69,AU,1680489722
167,tezu,27.9167,96.1667,16.68,91,100,1.24,IN,1680489722
168,anadyr,64.75,177.4833,-14.72,85,75,7.0,RU,1680489724
169,iqaluit,63.7506,-68.5145,-14.15,61,75,5.66,CA,1680489725
170,tessalit,20.1986,1.0114,24.07,8,82,3.92,ML,1680489725
171,provideniya,64.3833,-173.3,-10.91,67,75,5.0,RU,1680489726
172,shingu,33.7333,135.9833,13.57,83,100,3.88,JP,1680489549
173,roseburg,43.2165,-123.3417,4.1,87,100,0.0,US,1680489644
174,kincardine,56.0667,-3.7167,4.34,83,81,1.05,GB,1680489620
175,faxinal,-24.0003,-51.3194,17.07,95,5,2.0,BR,1680489727
176,jacareacanga,-6.2222,-57.7528,20.98,100,100,0.35,BR,1680489727
177,atambua,-9.1061,124.8925,28.35,62,100,0.88,ID,1680489728
178,sangar,63.9242,127.4739,-8.63,87,100,5.66,RU,1680489729
179,faanui,-16.4833,-151.75,28.37,69,99,2.65,PF,1680489730
180,zottegem,50.8662,3.809,1.87,89,1,2.94,BE,1680489730
181,alpena,45.0617,-83.4327,3.39,83,100,3.6,US,1680489731
182,half moon bay,37.4636,-122.4286,11.88,76,100,8.75,US,1680489731
183,anupgarh,29.1911,73.2086,25.03,45,5,6.45,IN,1680489732
184,georgetown,5.4112,100.3354,26.97,83,20,2.57,MY,1680489651
185,bamiantong,44.9333,130.5333,19.92,26,100,4.22,CN,1680489732
186,saint george,37.1041,-113.5841,19.03,28,0,2.57,US,1680489733
187,avera,33.194,-82.5271,12.73,48,77,1.83,US,1680489733
188,havoysund,70.9963,24.6622,-1.87,65,100,5.13,NO,1680489734
189,ust-omchug,61.15,149.6333,-9.95,72,35,2.48,RU,1680489734
190,batagay-alyta,67.8006,130.4114,-11.06,70,100,2.86,RU,1680489735
191,evensk,61.95,159.2333,-7.69,69,88,5.54,RU,1680489735
192,aripuana,-9.1667,-60.6333,21.7,98,80,1.75,BR,1680489736
193,fairfield,41.2668,-73.3162,4.81,42,0,3.6,US,1680489736
194,ondjiva,-17.0667,15.7333,19.51,72,53,1.85,AO,1680489736
